epoch,train_error,test_error
1,0.5864984393119812,0.460999995470047
2,0.383713960647583,0.3676999807357788
3,0.3029647469520569,0.3157999813556671
4,0.2545873522758484,0.29339998960494995
5,0.227804496884346,0.2393999993801117
6,0.2077924758195877,0.2053999900817871
7,0.1935296505689621,0.2744999825954437
8,0.1816105842590332,0.18689998984336853
9,0.1713341325521469,0.18779999017715454
10,0.16394230723381042,0.21299999952316284
11,0.15643028914928436,0.18869999051094055
12,0.15332531929016113,0.15119999647140503
13,0.1446714848279953,0.17970000207424164
14,0.1437700390815735,0.1753999888896942
15,0.13697917759418488,0.19049999117851257
16,0.134054496884346,0.156700000166893
17,0.13108974695205688,0.15809999406337738
18,0.12672275304794312,0.15789999067783356
19,0.1253405511379242,0.16579999029636383
20,0.12111378461122513,0.16769999265670776
21,0.1227363795042038,0.14659999310970306
22,0.12367788702249527,0.15209999680519104
23,0.11486378312110901,0.16779999434947968
24,0.11456330120563507,0.1590999960899353
25,0.11318109184503555,0.15209999680519104
26,0.11243990808725357,0.16210000216960907
27,0.11057692766189575,0.16869999468326569
28,0.10865385085344315,0.17239999771118164
29,0.109995998442173,0.13939999043941498
30,0.10727164149284363,0.18129999935626984
31,0.10484775900840759,0.13009999692440033
32,0.10438702255487442,0.14489999413490295
33,0.10206330567598343,0.16099999845027924
34,0.10274439305067062,0.15330000221729279
35,0.10166266560554504,0.17509999871253967
36,0.09809695929288864,0.16499999165534973
37,0.10024038702249527,0.14800000190734863
38,0.09719551354646683,0.14509999752044678
39,0.0960136279463768,0.14299999177455902
40,0.09691506624221802,0.13329999148845673
41,0.09537260234355927,0.14229999482631683
42,0.0957331731915474,0.12939999997615814
43,0.09453125298023224,0.13279999792575836
44,0.09342949092388153,0.13599999248981476
45,0.0906650647521019,0.15519998967647552
46,0.0951923131942749,0.1410999894142151
47,0.09238782525062561,0.13009999692440033
48,0.09098558127880096,0.12849999964237213
49,0.09062500298023224,0.13840000331401825
50,0.08948317915201187,0.12969999015331268
51,0.09022436290979385,0.14890000224113464
52,0.08920272439718246,0.13650000095367432
